Comment,,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1629504000000,21/08/2021 9:00,ETHUSD,3252.65,3287.04,3276.24,3279.85,191.0559539
1629486000000,21/08/2021 3:00,ETHUSD,3266.15,3258.55,3235.79,3252.65,646.3325706
1629475200000,21/08/2021 0:00,ETHUSD,3206.55,3299.01,3243.15,3266.15,1403.046685
1629457200000,20/08/2021 18:00,ETHUSD,3198.67,3218.95,3200.38,3206.55,412.5355669
1629446400000,20/08/2021 15:00,ETHUSD,3217.82,3224.9,3187.16,3198.67,435.8235884
1629428400000,20/08/2021 9:00,ETHUSD,3229.06,3234.36,3210.9,3217.82,592.1963239
1629417600000,20/08/2021 6:00,ETHUSD,3147.41,3246.09,3179,3229.06,3315.247691
1629399600000,20/08/2021 0:00,ETHUSD,3048.35,3164.56,3131,3147.41,1711.120613
1629388800000,19/08/2021 21:00,ETHUSD,2975,3078.94,3048.35,3048.35,967.9657936
1629370800000,19/08/2021 15:00,ETHUSD,3001.68,3002.54,2975,2975,732.1066278
1629360000000,19/08/2021 12:00,ETHUSD,2967.28,3022.53,2980.75,3001.68,608.2668325
1629342000000,19/08/2021 6:00,ETHUSD,3046.67,3009.69,2967.28,2967.28,563.4732909
1629331200000,19/08/2021 3:00,ETHUSD,3031.1,3048.87,3000,3046.67,450.3903113
1629313200000,18/08/2021 21:00,ETHUSD,3121.5,3069.22,3021.99,3031.1,1796.177158
1629302400000,18/08/2021 18:00,ETHUSD,2999.92,3125.99,3096.01,3121.5,282.7552236
1629284400000,18/08/2021 12:00,ETHUSD,3044.84,3058.11,2992.05,2999.92,635.2949943
1629273600000,18/08/2021 9:00,ETHUSD,3050.05,3050.04,3017,3044.84,415.3325841
1629255600000,18/08/2021 3:00,ETHUSD,3021.03,3050.05,3009.51,3050.05,477.433949
1629244800000,18/08/2021 0:00,ETHUSD,3013.3,3043.88,2975,3021.03,1811.907497
